2017-04-30,1,1,0,0,0
2017-04-29,1,1,0,0,0
2017-04-28,1,1,0,0,0
2017-04-27,1,1,0,0,0
2017-04-26,1,1,0,0,0
2017-04-25,1,1,0,1,0
2017-04-24,1,1,0,1,0
2017-04-23,1,1,0,0,1
2017-04-22,1,1,0,1,0
2017-04-21,1,1,0,0,1
2017-04-20,1,1,0,0,1
2017-04-19,1,1,0,0,0
2017-04-18,1,1,0,0,1
2017-04-17,1,1,0,0,0
2017-04-16,1,1,0,0,0
2017-04-15,1,1,0,0,0
2017-04-14,1,1,0,0,1
2017-04-13,1,1,0,0,1
2017-04-12,1,1,0,0,0
2017-04-11,1,1,0,0,0
2017-04-10,1,1,0,1,0
2017-03-30,1,1,0,0,1
2017-03-29,1,1,0,0,0
2017-03-28,1,1,0,0,1
2017-03-27,1,1,0,0,0
2017-03-26,1,1,0,0,1
2017-03-25,1,1,0,0,1
2017-03-24,1,1,0,0,0
2017-03-23,1,1,0,0,1
2017-03-22,1,1,0,0,1
2017-03-21,1,1,0,1,0
2017-03-20,1,1,0,1,0
2017-03-19,1,1,0,0,1
2017-03-18,1,1,0,1,0
2017-03-16,1,1,0,0,1
2017-03-15,1,1,0,0,0
2017-03-14,1,1,0,0,1
2017-03-13,1,1,0,0,1
2017-03-12,1,1,0,0,0
2017-03-11,1,1,0,0,0
2017-03-10,1,1,0,0,1
2017-03-09,1,1,0,0,1
2017-03-08,1,1,0,0,1
2017-03-07,1,1,0,0,1
2017-03-06,1,1,0,0,1
2017-03-05,1,1,0,0,0
2017-03-04,1,1,0,0,1
2017-03-03,1,1,0,0,1
2017-03-02,1,1,0,0,1
2017-03-01,1,1,0,0,0
2017-02-28,1,1,0,1,0
2017-02-27,1,1,0,0,0
2017-02-26,1,1,0,0,1
2017-02-25,1,1,0,1,0
2017-02-24,1,1,0,1,0
2017-02-23,1,1,0,0,0
2017-02-10,1,1,0,0,0
2017-02-09,1,1,0,0,0
2017-02-07,1,1,0,0,0
2017-02-05,1,1,0,0,1
